,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5024256229400634,0.013710498804341761,0.1274017333984375,0.01246487965180255,0.1,linear,0.001,"{'C': 0.1, 'kernel': 'linear', 'tol': 0.001}",0.7145260796410544,0.7369601794727987,0.7386427369601795,0.7263039820527202,0.7347167694896243,73.02299495232754,0.008924430412076762,31
1,0.5038877964019776,0.04017740970204057,0.128764009475708,0.007653203965055998,0.1,linear,0.01,"{'C': 0.1, 'kernel': 'linear', 'tol': 0.01}",0.715086932136848,0.7380818844643858,0.7375210319685923,0.7268648345485137,0.7347167694896243,73.04542905215928,0.00866403657535727,28
2,0.710686206817627,0.018170695125155296,0.6944633007049561,0.03330262751885345,0.1,rbf,0.001,"{'C': 0.1, 'kernel': 'rbf', 'tol': 0.001}",0.7453729669097028,0.7464946719012899,0.7537857543466069,0.7577117218171621,0.7509814918676389,75.08693213684802,0.004575676512478098,21
3,0.7580602169036865,0.03963352668158546,0.7664589881896973,0.08385123612812233,0.1,rbf,0.01,"{'C': 0.1, 'kernel': 'rbf', 'tol': 0.01}",0.7459338194054963,0.7464946719012899,0.7537857543466069,0.7571508693213684,0.7509814918676389,75.086932136848,0.004277212779570986,22
4,1.0341810226440429,0.0229510444102549,0.26943316459655764,0.00979857585558121,0.1,sigmoid,0.001,"{'C': 0.1, 'kernel': 'sigmoid', 'tol': 0.001}",0.5905776780706674,0.6029164329781268,0.6242288278182838,0.588334268087493,0.5810431856421762,59.74200785193495,0.01514260193443518,37
5,1.0576179504394532,0.02139527537871187,0.2937974452972412,0.010282566248752593,0.1,sigmoid,0.01,"{'C': 0.1, 'kernel': 'sigmoid', 'tol': 0.01}",0.5900168255748738,0.6017947279865395,0.6236679753224902,0.5877734155916994,0.5799214806505889,59.66348850252383,0.015225466742305915,38
6,0.7543675422668457,0.05701935515531737,0.18479857444763184,0.022476788183413435,0.1,poly,0.001,"{'C': 0.1, 'kernel': 'poly', 'tol': 0.001}",0.7291082445316882,0.7251822770611329,0.7352776219854178,0.733595064498037,0.7313516545148626,73.09029725182278,0.003536485198078383,24
7,0.6666921138763428,0.009804721350520965,0.17402305603027343,0.002245297120404095,0.1,poly,0.01,"{'C': 0.1, 'kernel': 'poly', 'tol': 0.01}",0.7285473920358946,0.7251822770611329,0.7358384744812114,0.7341559169938306,0.7313516545148626,73.10151430173863,0.0038302571124989044,23
8,0.6852794170379639,0.027214058811067702,0.14258413314819335,0.0039735623490099225,0.5,linear,0.001,"{'C': 0.5, 'kernel': 'linear', 'tol': 0.001}",0.7145260796410544,0.7352776219854178,0.7408861469433539,0.7285473920358946,0.7319125070106562,73.02299495232754,0.008846548133765706,31
9,0.667478084564209,0.028229367978963735,0.14469342231750487,0.0019036801906484487,0.5,linear,0.01,"{'C': 0.5, 'kernel': 'linear', 'tol': 0.01}",0.7156477846326417,0.7352776219854178,0.7420078519349411,0.727986539540101,0.7313516545148626,73.04542905215928,0.00875073689953653,28
10,0.5860231399536133,0.006819778225328181,0.6290746688842773,0.0036230513770255904,0.5,rbf,0.001,"{'C': 0.5, 'kernel': 'rbf', 'tol': 0.001}",0.7694896242288278,0.7689287717330342,0.7773415591699383,0.786315199102636,0.776219854178351,77.56590016825574,0.006325461437968234,18
11,0.5816926956176758,0.016796000702510697,0.6446390151977539,0.008610404115325902,0.5,rbf,0.01,"{'C': 0.5, 'kernel': 'rbf', 'tol': 0.01}",0.7694896242288278,0.7689287717330342,0.7773415591699383,0.7874369040942232,0.776219854178351,77.5883342680875,0.006707758334369499,17
